topo_target	topo_source1	topo_source2	nadmix
1_A	1_A	1_A	0
1_B	1_B	1_B	0
1_C	1_C	1_C	3
1_D	1_D	1_D	4
1_E	1_E	1_E	0
1_F	1_F	1_F	0
1_G	1_G	1_G	3
1_H	1_H	1_H	3
1_I	1_I	1_I	2
1_J	1_J	1_J	4
1_K	1_K	1_K	4
1_L	1_L	1_L	2
1_M	1_M	1_M	2
2_A	2_A	2_A	0
2_B	2_B	2_B	0
2_C	2_C	2_C	1
2_D	2_D	2_D	3
2_E	2_E	2_E	0
2_F	2_F	2_F	0
2_G	2_G	2_G	2
2_H	2_H	2_H	0
2_I	2_I	2_I	0
2_J	2_J	2_J	2
2_K	2_K	2_K	1
2_L	2_L	2_L	2
2_M	2_M	2_M	1
3_A	3_A	3_A	5
3_B	3_B	3_B	4
3_C	3_C	3_C	3
3_D	3_D	3_D	0
3_E	3_E	3_E	0
3_F	3_F	3_F	2
3_G	3_G	3_G	0
3_H	3_H	3_H	4
3_I	3_I	3_I	0
3_J	3_J	3_J	1
3_K	3_K	3_K	2
3_L	3_L	3_L	2
3_M	3_M	3_M	1
4_A	4_A	4_A	0
4_B	4_B	4_B	0
4_C	4_C	4_C	2
4_D	4_D	4_D	1
4_E	4_E	4_E	0
4_F	4_F	4_F	2
4_G	4_G	4_G	1
4_H	4_H	4_H	2
4_I	4_I	4_I	1
4_J	4_J	4_J	2
4_K	4_K	4_K	3
4_L	4_L	4_L	0
4_M	4_M	4_M	0
5_A	5_A	5_A	0
5_B	5_B	5_B	0
5_C	5_C	5_C	2
5_D	5_D	5_D	0
5_E	5_E	5_E	3
5_F	5_F	5_F	4
5_G	5_G	5_G	1
5_H	5_H	5_H	0
5_I	5_I	5_I	1
5_J	5_J	5_J	0
5_K	5_K	5_K	2
5_L	5_L	5_L	0
5_M	5_M	5_M	0
6_A	6_A	6_A	1
6_B	6_B	6_B	0
6_C	6_C	6_C	1
6_D	6_D	6_D	3
6_E	6_E	6_E	1
6_F	6_F	6_F	1
6_G	6_G	6_G	3
6_H	6_H	6_H	2
6_I	6_I	6_I	1
6_J	6_J	6_J	0
6_K	6_K	6_K	0
6_L	6_L	6_L	1
6_M	6_M	6_M	1
7_A	7_A	7_A	1
7_B	7_B	7_B	0
7_C	7_C	7_C	1
7_D	7_D	7_D	3
7_E	7_E	7_E	0
7_F	7_F	7_F	1
7_G	7_G	7_G	3
7_H	7_H	7_H	2
7_I	7_I	7_I	0
7_J	7_J	7_J	0
7_K	7_K	7_K	1
7_L	7_L	7_L	0
7_M	7_M	7_M	0
8_A	8_A	8_A	0
8_B	8_B	8_B	5
8_C	8_C	8_C	0
8_D	8_D	8_D	4
8_E	8_E	8_E	1
8_F	8_F	8_F	0
8_G	8_G	8_G	5
8_H	8_H	8_H	0
8_I	8_I	8_I	4
8_J	8_J	8_J	0
8_K	8_K	8_K	4
8_L	8_L	8_L	0
8_M	8_M	8_M	1
9_A	9_A	9_A	0
9_B	9_B	9_B	0
9_C	9_C	9_C	3
9_D	9_D	9_D	0
9_E	9_E	9_E	1
9_F	9_F	9_F	0
9_G	9_G	9_G	2
9_H	9_H	9_H	2
9_I	9_I	9_I	1
9_J	9_J	9_J	1
9_K	9_K	9_K	1
9_L	9_L	9_L	2
9_M	9_M	9_M	2
10_A	10_A	10_A	1
10_B	10_B	10_B	0
10_C	10_C	10_C	1
10_D	10_D	10_D	0
10_E	10_E	10_E	2
10_F	10_F	10_F	0
10_G	10_G	10_G	4
10_H	10_H	10_H	0
10_I	10_I	10_I	0
10_J	10_J	10_J	1
10_K	10_K	10_K	1
10_L	10_L	10_L	4
10_M	10_M	10_M	2
11_A	11_A	11_A	0
11_B	11_B	11_B	1
11_C	11_C	11_C	2
11_D	11_D	11_D	3
11_E	11_E	11_E	2
11_F	11_F	11_F	2
11_G	11_G	11_G	0
11_H	11_H	11_H	0
11_I	11_I	11_I	0
11_J	11_J	11_J	0
11_K	11_K	11_K	2
11_L	11_L	11_L	4
11_M	11_M	11_M	1
12_A	12_A	12_A	3
12_B	12_B	12_B	0
12_C	12_C	12_C	3
12_D	12_D	12_D	0
12_E	12_E	12_E	1
12_F	12_F	12_F	0
12_G	12_G	12_G	0
12_H	12_H	12_H	1
12_I	12_I	12_I	0
12_J	12_J	12_J	0
12_K	12_K	12_K	1
12_L	12_L	12_L	0
12_M	12_M	12_M	0
13_A	13_A	13_A	1
13_B	13_B	13_B	1
13_C	13_C	13_C	1
13_D	13_D	13_D	2
13_E	13_E	13_E	1
13_F	13_F	13_F	1
13_G	13_G	13_G	3
13_H	13_H	13_H	1
13_I	13_I	13_I	0
13_J	13_J	13_J	1
13_K	13_K	13_K	2
13_L	13_L	13_L	0
13_M	13_M	13_M	2
14_A	14_A	14_A	0
14_B	14_B	14_B	4
14_C	14_C	14_C	2
14_D	14_D	14_D	1
14_E	14_E	14_E	1
14_F	14_F	14_F	0
14_G	14_G	14_G	3
14_H	14_H	14_H	1
14_I	14_I	14_I	0
14_J	14_J	14_J	1
14_K	14_K	14_K	3
14_L	14_L	14_L	0
14_M	14_M	14_M	1
15_A	15_A	15_A	4
15_B	15_B	15_B	1
15_C	15_C	15_C	3
15_D	15_D	15_D	0
15_E	15_E	15_E	4
15_F	15_F	15_F	0
15_G	15_G	15_G	2
15_H	15_H	15_H	0
15_I	15_I	15_I	5
15_J	15_J	15_J	3
15_K	15_K	15_K	0
15_L	15_L	15_L	3
15_M	15_M	15_M	0
16_A	16_A	16_A	1
16_B	16_B	16_B	1
16_C	16_C	16_C	0
16_D	16_D	16_D	2
16_E	16_E	16_E	2
16_F	16_F	16_F	0
16_G	16_G	16_G	0
16_H	16_H	16_H	1
16_I	16_I	16_I	0
16_J	16_J	16_J	3
16_K	16_K	16_K	2
16_L	16_L	16_L	0
16_M	16_M	16_M	3
17_A	17_A	17_A	2
17_B	17_B	17_B	1
17_C	17_C	17_C	0
17_D	17_D	17_D	1
17_E	17_E	17_E	2
17_F	17_F	17_F	3
17_G	17_G	17_G	4
17_H	17_H	17_H	2
17_I	17_I	17_I	0
17_J	17_J	17_J	1
17_K	17_K	17_K	2
17_L	17_L	17_L	1
17_M	17_M	17_M	3
18_A	18_A	18_A	3
18_B	18_B	18_B	0
18_C	18_C	18_C	2
18_D	18_D	18_D	1
18_E	18_E	18_E	0
18_F	18_F	18_F	0
18_G	18_G	18_G	0
18_H	18_H	18_H	1
18_I	18_I	18_I	4
18_J	18_J	18_J	0
18_K	18_K	18_K	2
18_L	18_L	18_L	0
18_M	18_M	18_M	0
19_A	19_A	19_A	2
19_B	19_B	19_B	1
19_C	19_C	19_C	1
19_D	19_D	19_D	1
19_E	19_E	19_E	0
19_F	19_F	19_F	1
19_G	19_G	19_G	0
19_H	19_H	19_H	3
19_I	19_I	19_I	5
19_J	19_J	19_J	3
19_K	19_K	19_K	0
19_L	19_L	19_L	1
19_M	19_M	19_M	1
20_A	20_A	20_A	1
20_B	20_B	20_B	2
20_C	20_C	20_C	1
20_D	20_D	20_D	0
20_E	20_E	20_E	3
20_F	20_F	20_F	0
20_G	20_G	20_G	2
20_H	20_H	20_H	2
20_I	20_I	20_I	2
20_J	20_J	20_J	0
20_K	20_K	20_K	1
20_L	20_L	20_L	0
20_M	20_M	20_M	1
21_A	21_A	21_A	0
