topo_target	topo_source1	topo_source2	sampling_time
1_A	1_A	1_A	459
1_B	1_B	1_B	459
1_C	1_C	1_C	203
1_D	1_D	1_D	157
1_E	1_E	1_E	577
1_F	1_F	1_F	459
1_G	1_G	1_G	157
1_H	1_H	1_H	49
1_I	1_I	1_I	49
1_J	1_J	1_J	0
1_K	1_K	1_K	0
1_L	1_L	1_L	203
1_M	1_M	1_M	157
2_A	2_A	2_A	28
2_B	2_B	2_B	130
2_C	2_C	2_C	130
2_D	2_D	2_D	0
2_E	2_E	2_E	325
2_F	2_F	2_F	28
2_G	2_G	2_G	130
2_H	2_H	2_H	130
2_I	2_I	2_I	482
2_J	2_J	2_J	28
2_K	2_K	2_K	0
2_L	2_L	2_L	0
2_M	2_M	2_M	0
3_A	3_A	3_A	0
3_B	3_B	3_B	104
3_C	3_C	3_C	216
3_D	3_D	3_D	648
3_E	3_E	3_E	542
3_F	3_F	3_F	216
3_G	3_G	3_G	471
3_H	3_H	3_H	73
3_I	3_I	3_I	542
3_J	3_J	3_J	296
3_K	3_K	3_K	216
3_L	3_L	3_L	216
3_M	3_M	3_M	341
4_A	4_A	4_A	615
4_B	4_B	4_B	726
4_C	4_C	4_C	41
4_D	4_D	4_D	402
4_E	4_E	4_E	402
4_F	4_F	4_F	64
4_G	4_G	4_G	166
4_H	4_H	4_H	41
4_I	4_I	4_I	306
4_J	4_J	4_J	88
4_K	4_K	4_K	0
4_L	4_L	4_L	372
4_M	4_M	4_M	372
5_A	5_A	5_A	383
5_B	5_B	5_B	453
5_C	5_C	5_C	0
5_D	5_D	5_D	453
5_E	5_E	5_E	52
5_F	5_F	5_F	129
5_G	5_G	5_G	248
5_H	5_H	5_H	383
5_I	5_I	5_I	129
5_J	5_J	5_J	552
5_K	5_K	5_K	129
5_L	5_L	5_L	383
5_M	5_M	5_M	284
6_A	6_A	6_A	183
6_B	6_B	6_B	534
6_C	6_C	6_C	150
6_D	6_D	6_D	0
6_E	6_E	6_E	321
6_F	6_F	6_F	150
6_G	6_G	6_G	0
6_H	6_H	6_H	53
6_I	6_I	6_I	223
6_J	6_J	6_J	300
6_K	6_K	6_K	534
6_L	6_L	6_L	150
6_M	6_M	6_M	321
7_A	7_A	7_A	467
7_B	7_B	7_B	716
7_C	7_C	7_C	219
7_D	7_D	7_D	0
7_E	7_E	7_E	364
7_F	7_F	7_F	443
7_G	7_G	7_G	0
7_H	7_H	7_H	257
7_I	7_I	7_I	364
7_J	7_J	7_J	561
7_K	7_K	7_K	219
7_L	7_L	7_L	364
7_M	7_M	7_M	716
8_A	8_A	8_A	505
8_B	8_B	8_B	0
