simulation_replicate	experiment_ID	closest_sources_number_in_experiment	complexity_rotating	closest_sources_number_rotating	p_rotating	complexity_non.rotating	closest_sources_number_non.rotating	p_non.rotating
7	33_circle3	0	3	0	0.016599896	not finished	NA	NA
2	42_circle3	0	3	0	0.017743197	not finished	NA	NA
8	31_circle3	0	3	0	0.041011947	3	0	0.072621668
4	25_circle3	0	3	0	0.041048417	4	0	0.010573476
4	31_circle3	0	3	0	0.07302006	not finished	NA	NA
8	42_circle3	0	3	0	0.1060946	not finished	NA	NA
10	41_circle3	0	3	0	0.11893341	4	0	0.042300846
2	34_circle3	0	4	0	0.014529763	4	0	0.021431056
7	31_circle3	0	4	0	0.015213936	not finished	NA	NA
1	41_circle3	0	4	0	0.015858243	not finished	NA	NA
9	31_circle3	0	4	0	0.016514509	not finished	NA	NA
8	24_circle3	0	4	0	0.016536741	not finished	NA	NA
2	32_circle3	0	4	0	0.01683241	not finished	NA	NA
7	25_circle3	0	4	0	0.01764869	not finished	NA	NA
6	40_circle3	0	4	0	0.020113518	not finished	NA	NA
10	24_circle3	0	4	0	0.022230788	not finished	NA	NA
1	24_circle3	0	4	0	0.022396824	not finished	NA	NA
5	40_circle3	0	4	0	0.023246632	not finished	NA	NA
9	40_circle3	0	4	0	0.023279761	not finished	NA	NA
3	41_circle3	0	4	0	0.02367447	not finished	NA	NA
2	31_circle3	0	4	0	0.023899168	not finished	NA	NA
6	42_circle3	0	4	0	0.02450521	4	0	0.038245363
9	33_circle3	0	4	0	0.024978692	not finished	NA	NA
2	24_circle3	0	4	0	0.027248818	not finished	NA	NA
10	23_circle3	0	4	0	0.034002348	not finished	NA	NA
1	40_circle3	0	4	0	0.035191559	not finished	NA	NA
10	25_circle3	0	4	0	0.036045388	not finished	NA	NA
6	24_circle3	0	4	0	0.03731798	not finished	NA	NA
4	32_circle3	0	4	0	0.038967018	not finished	NA	NA
4	40_circle3	0	4	0	0.041163654	not finished	NA	NA
10	40_circle3	0	4	0	0.043467422	not finished	NA	NA
4	34_circle3	0	4	0	0.049209186	not finished	NA	NA
3	40_circle3	0	4	0	0.049233652	not finished	NA	NA
3	34_circle3	0	4	0	0.049579618	not finished	NA	NA
9	41_circle3	0	4	0	0.050886431	not finished	NA	NA
9	24_circle3	0	4	0	0.056655319	not finished	NA	NA
6	33_circle3	0	4	0	0.056955692	not finished	NA	NA
8	32_circle3	0	4	0	0.062108991	not finished	NA	NA
1	32_circle3	0	4	0	0.062108991	not finished	NA	NA
6	32_circle3	0	4	0	0.062108991	not finished	NA	NA
7	32_circle3	0	4	0	0.062108991	not finished	NA	NA
9	32_circle3	0	4	0	0.062108991	not finished	NA	NA
5	34_circle3	0	4	0	0.072655659	not finished	NA	NA
7	41_circle3	0	4	0	0.07579963	not finished	NA	NA
8	40_circle3	0	4	0	0.075892104	not finished	NA	NA
6	31_circle3	0	4	0	0.07715396	not finished	NA	NA
9	23_circle3	0	4	0	0.081255216	not finished	NA	NA
4	41_circle3	0	4	0	0.085293529	not finished	NA	NA
8	33_circle3	0	4	0	0.086270922	not finished	NA	NA
10	31_circle3	0	4	0	0.096885335	not finished	NA	NA
7	24_circle3	0	4	0	0.105799343	not finished	NA	NA
5	33_circle3	0	4	0	0.110120694	not finished	NA	NA
7	42_circle3	0	4	0	0.117706784	not finished	NA	NA
5	24_circle3	0	4	0	0.126252606	not finished	NA	NA
8	25_circle3	0	4	0	0.145346763	not finished	NA	NA
8	41_circle3	0	4	0	0.173274791	not finished	NA	NA
5	42_circle3	0	4	0	0.20388223	not finished	NA	NA
5	41_circle3	0	4	0	0.215452494	not finished	NA	NA
10	34_circle3	0	4	0	0.25698057	4	0	0.042239583
9	42_circle3	0	4	0	0.293419348	not finished	NA	NA
4	33_circle3	0	4	0	0.346501374	not finished	NA	NA
10	42_circle3	0	4	0	0.352906805	3	0	0.048249109
3	24_circle3	0	4	0	0.388057906	not finished	NA	NA
10	33_circle3	0	4	0	0.452558411	not finished	NA	NA
8	23_circle3	0	4	0	0.470223622	not finished	NA	NA
9	34_circle3	0	4	0	0.475854755	not finished	NA	NA
10	32_circle3	0	4	0	0.492680904	not finished	NA	NA
3	25_circle3	0	4	0	0.528460595	not finished	NA	NA
4	42_circle3	0	4	0	0.600318365	not finished	NA	NA
3	42_circle3	0	4	0	0.73494866	4	0	0.033974011
1	23_circle3	0	not finished	NA	NA	not finished	NA	NA
1	25_circle3	0	not finished	NA	NA	not finished	NA	NA
1	31_circle3	0	not finished	NA	NA	not finished	NA	NA
1	33_circle3	0	not finished	NA	NA	not finished	NA	NA
1	34_circle3	0	not finished	NA	NA	not finished	NA	NA
1	42_circle3	0	not finished	NA	NA	not finished	NA	NA
2	23_circle3	0	not finished	NA	NA	not finished	NA	NA
2	25_circle3	0	not finished	NA	NA	not finished	NA	NA
2	33_circle3	0	not finished	NA	NA	not finished	NA	NA
2	40_circle3	0	not finished	NA	NA	not finished	NA	NA
2	41_circle3	0	not finished	NA	NA	not finished	NA	NA
3	23_circle3	0	not finished	NA	NA	not finished	NA	NA
3	31_circle3	0	not finished	NA	NA	not finished	NA	NA
3	32_circle3	0	not finished	NA	NA	not finished	NA	NA
3	33_circle3	0	not finished	NA	NA	not finished	NA	NA
4	23_circle3	0	not finished	NA	NA	not finished	NA	NA
4	24_circle3	0	not finished	NA	NA	not finished	NA	NA
5	23_circle3	0	not finished	NA	NA	not finished	NA	NA
5	25_circle3	0	not finished	NA	NA	not finished	NA	NA
5	31_circle3	0	not finished	NA	NA	not finished	NA	NA
5	32_circle3	0	not finished	NA	NA	not finished	NA	NA
6	23_circle3	0	not finished	NA	NA	not finished	NA	NA
6	25_circle3	0	not finished	NA	NA	not finished	NA	NA
6	34_circle3	0	not finished	NA	NA	not finished	NA	NA
6	41_circle3	0	not finished	NA	NA	not finished	NA	NA
7	23_circle3	0	not finished	NA	NA	not finished	NA	NA
7	34_circle3	0	not finished	NA	NA	not finished	NA	NA
7	40_circle3	0	not finished	NA	NA	not finished	NA	NA
8	34_circle3	0	not finished	NA	NA	not finished	NA	NA
9	25_circle3	0	not finished	NA	NA	not finished	NA	NA
9	41	1	2	1	0.019512635	2	1	0.029525732
10	23	1	2	1	0.023951224	2	1	0.015010965
8	41	1	2	1	0.037920365	2	1	0.306538539
6	23	1	2	1	0.06728958	3	1	0.022513624
6	33	1	2	1	0.194459786	2	1	0.010535385
2	41	1	3	1	0.010239677	4	1	0.029224884
3	24	1	3	1	0.012720525	3	1	0.039476896
3	40	1	3	1	0.013254109	not finished	NA	NA
9	23	1	3	1	0.013485219	not finished	NA	NA
10	24	1	3	1	0.013599004	3	1	0.011544394
5	41	1	3	1	0.013880786	4	1	0.236306751
10	33	1	3	1	0.014609963	4	1	0.051564965
2	40	1	3	1	0.017064798	3	1	0.024502107
4	23	1	3	1	0.017456038	4	1	0.092031923
1	23	1	3	1	0.019164564	2	1	0.073603007
2	23	1	3	1	0.019607914	3	1	0.013285049
3	41	1	3	1	0.020373697	not finished	NA	NA
7	41	1	3	1	0.020871036	3	1	0.021445888
8	31	1	3	1	0.023865179	2	1	0.125696138
7	24	1	3	1	0.024799048	3	1	0.014995181
4	31	1	3	1	0.027467468	3	1	0.25650169
3	23	1	3	1	0.029272718	not finished	NA	NA
4	40	1	3	1	0.030531591	3	1	0.660010795
7	31	1	3	1	0.03407507	3	1	0.014133965
3	33	1	3	1	0.034575117	not finished	NA	NA
7	23	1	3	1	0.039401781	3	1	0.095252473
5	31	1	3	1	0.039684285	3	1	0.010497768
3	31	1	3	1	0.041002485	not finished	NA	NA
10	31	1	3	1	0.043218021	3	1	0.013471862
10	41	1	3	1	0.044725429	3	1	0.047164202
4	41	1	3	1	0.055767061	3	1	0.058837287
9	31	1	3	1	0.060009576	4	1	0.019492015
6	31	1	3	1	0.066142412	4	1	0.062914544
6	40	1	3	1	0.069896144	not finished	NA	NA
8	33	1	3	1	0.074162603	2	1	0.014942899
5	23	1	3	1	0.088593337	3	1	0.011334454
9	33	1	3	1	0.108478175	4	1	0.013064366
1	31	1	3	1	0.109511746	3	1	0.168470367
2	31	1	3	1	0.124187172	4	1	0.058716732
9	40	1	3	1	0.147212974	4	1	0.042506101
8	24	1	3	1	0.186816426	3	1	0.011044649
9	24	1	3	1	0.468995581	not finished	NA	NA
6	41	1	4	1	0.011271669	not finished	NA	NA
1	41	1	4	1	0.029395507	not finished	NA	NA
6	24	1	4	1	0.03477069	not finished	NA	NA
2	33	1	4	1	0.038391968	4	1	0.039834475
8	40	1	4	1	0.047269681	4	1	0.403072401
8	23	1	4	1	0.058289176	3	1	0.032249972
1	33	1	4	1	0.068347716	3	1	0.022384929
1	40	1	4	1	0.083277031	3	1	0.012751555
4	33	1	4	1	0.085087611	4	1	0.16155507
5	40	1	4	1	0.102420633	4	1	0.130316888
4	24	1	4	1	0.104134824	3	1	0.020816452
2	24	1	4	1	0.111098891	4	1	0.259390405
1	24	1	4	1	0.112202782	4	1	0.029084865
10	40	1	4	1	0.127654634	4	1	0.11802943
5	33	1	4	1	0.188679523	not finished	NA	NA
7	40	1	4	1	0.334823676	4	1	0.019791579
7	33	1	4	1	0.553989225	4	1	0.011030599
5	24	1	4	1	0.586971452	3	1	0.065404068
10	24_33	2	2	1	0.010491152	2	1	0.028970688
6	33_41	2	2	1	0.169784648	2	1	0.010505104
6	24_33	2	2	1	0.207235167	2	1	0.010712408
4	31_41	2	2	2	0.018930321	3	2	0.01271611
4	24_40	2	2	2	0.02375269	3	2	0.044529719
10	23_41	2	2	2	0.03411287	2	1	0.023470097
9	33_40	2	2	2	0.046223452	3	2	0.053112901
10	24_31	2	2	2	0.048905464	2	1	0.028941005
1	31_33	2	2	2	0.05120479	2	2	0.3520071
8	23_41	2	2	2	0.055084941	2	2	0.544498264
8	31_41	2	2	2	0.066119077	2	1	0.074146825
8	31_33	2	2	2	0.09956292	2	1	0.073495469
6	31_33	2	2	2	0.366064093	2	2	0.905468413
2	23_40	2	2	2	0.404889776	2	2	0.011306785
6	23_33	2	2	2	0.543274858	2	2	0.965380327
10	23_33	2	2	2	0.891202234	2	1	0.023431519
8	31_40	2	3	1	0.010243294	2	1	0.074251206
4	23_24	2	3	1	0.010548367	3	1	0.020366859
7	31_40	2	3	1	0.010578183	3	1	0.014177637
4	33_41	2	3	1	0.010683382	4	1	0.056717588
4	24_41	2	3	1	0.011055674	3	1	0.020400945
2	23_24	2	3	1	0.011165974	3	1	0.013524146
4	24_33	2	3	1	0.011894871	3	1	0.020403314
9	23_24	2	3	1	0.013992068	not finished	NA	NA
6	23_40	2	3	1	0.014416217	3	1	0.022614388
10	23_40	2	3	1	0.014550152	2	1	0.022313911
4	31_40	2	3	1	0.015255349	3	1	0.181421065
8	23_31	2	3	1	0.015347213	2	1	0.074344821
4	31_33	2	3	1	0.015579606	3	2	0.166834295
5	31_40	2	3	1	0.016785404	3	1	0.010564231
3	23_31	2	3	1	0.017711173	not finished	NA	NA
10	24_41	2	3	1	0.017778606	2	1	0.02899168
9	24_33	2	3	1	0.018181061	4	1	0.156915964
1	31_40	2	3	1	0.021668156	3	1	0.169138239
6	23_31	2	3	1	0.022315097	3	1	0.022488616
3	33_41	2	3	1	0.022865267	not finished	NA	NA
5	23_31	2	3	1	0.029600616	3	1	0.011425439
4	23_31	2	3	1	0.040902854	4	1	0.224405956
1	23_31	2	3	1	0.053537529	2	1	0.074516203
10	31_40	2	3	1	0.056952814	3	1	0.012111234
6	31_40	2	3	1	0.084719272	4	1	0.063738102
