"qpAdm_label"	"average.date"	"median.date"	"mean_center_latitude"	"mean_center_longitude"
"Anatolia_EBA.SG"	"4700"	"4700"	"38.629306"	"34.297718"
"Anatolia_MLBA.SG"	"3800"	"3800"	"39.345805"	"33.78813"
"Armenia.IronRoman.SG"	"2071.6"	"1900"	"40.6885"	"43.8493"
"Austria_Klosterneuburg_Roman_oLevant.SG"	"1664"	"1664"	"48.3099"	"16.3238"
"Austria.IronRoman_other.SG"	"1794"	"1794"	"48.3099"	"16.3238"
"Austria.IronRoman.SG"	"1235"	"1235"	"48.1654"	"14.0366"
"AustriaFranceGermany_I.IronRoman.SG"	"1474.66666666667"	"1502"	"48.5360461999754"	"11.4515296452673"
"AustriaFranceGermany_II.IronRoman.SG"	"1520.66666666667"	"1500"	"49.6658492662615"	"8.03246549727641"
"AustriaFranceGermany_III.IronRoman.SG"	"1712"	"1675"	"48.6747320864021"	"10.1572427619591"
"Baiuvarii_EMED_other.SG"	"1430"	"1430"	"48.89"	"12.57"
"Baiuvarii_EMED.SG"	"1494.5"	"1494.5"	"48.58"	"12.2"
"Basque"	"0"	"0"	"43.26288752"	"-2.935503759"
"Bavaria_EMED.SG"	"1650"	"1650"	"48.140725"	"11.409658"
"Bergamo"	"0"	"0"	"45.69556454"	"9.66707458"
"Bodzia_VA.SG"	"950"	"950"	"52.7"	"18.9"
"Britain.IronRoman.SG"	"1925.2"	"1872.5"	"53.1304568130492"	"-0.52694132336446"
"Crete"	"0"	"0"	"35.34280868"	"25.13438124"
"Croatia.IronRoman.SG"	"1567.05882352941"	"1512"	"44.7230160754006"	"15.5585041408747"
"Czech"	"0"	"0"	"50.08819221"	"14.42022477"
"Czech_EarlySlav_dup.I4137.SG"	"1235"	"1235"	"50.19"	"14.158"
"Czech_HallstattBylany.SG"	"2702"	"2702"	"50.5099972"	"14.05"
"Czech_Unetice_EBA_dup.I4139.SG"	"4000"	"4000"	"50.166667"	"14.316667"
"Denmark_EVA_o.SG"	"1100"	"1100"	"55.87"	"12.08"
"Denmark_EVA.SG"	"1133.33333333333"	"1100"	"55.6300414949121"	"12.0091438318029"
"Denmark_IA.SG"	"1750"	"1750"	"55.6456710144303"	"12.2432445289542"
"DenmarkSweden_VA_I.SG"	"1018.84615384615"	"1000"	"55.2155720286423"	"10.5033461619372"
"DenmarkSweden_VA_II.SG"	"1025.88888888889"	"1000"	"55.2395645438586"	"10.2508440669046"
"DenmarkSweden_VA_III.SG"	"1039.33333333333"	"1013"	"56.0509791101122"	"13.2726431258581"
"Dorset_VA.SG"	"953"	"953"	"50.67"	"-2.47"
"EarlyNorseGreenlandE_VA.SG"	"928.285714285714"	"900"	"61.0714896696235"	"-45.5310464435062"
"England_Roman_MiddleEast.SG"	"1750"	"1750"	"53.958333"	"-1.080278"
"England_Saxon_highCNE.SG"	"1233"	"1200"	"52.2768417761463"	"0.212956875805625"
"England_Saxon.SG"	"1275.14285714286"	"1200"	"52.2166637284315"	"0.111565689113614"
"England.Roman.Gladiator.Scandinavia.SG"	"1750"	"1750"	"53.958333"	"-1.080278"
"English"	"0"	"0"	"51.51323639"	"-0.098425495"
"Estonia_CordedWare.SG"	"4499.8"	"4413"	"58.8542451889406"	"26.0130098530368"
"Estonia_MED.SG"	"685"	"685"	"58.5033"	"22.7425"
"Estonian"	"0"	"0"	"59.44475773"	"24.75126055"
"Faroe_EM.SG"	"350"	"350"	"61.85"	"-6.8"
"Finnish"	"0"	"0"	"60.17392552"	"24.93323006"
"Foggia_MED.SG"	"773.2"	"800"	"41.3721063469713"	"15.3879054594067"
"France_M.SG"	"608.5"	"608.5"	"49.115262"	"6.169192"
"France.BellBeaker.SG"	"4462.33333333333"	"4475"	"43.1493590000018"	"3.06056766676469"
"France.EB.SG"	"3730.5"	"3730.5"	"43.149463500002"	"3.06056050011027"
"France.IronRoman_o.SG"	"1622"	"1622"	"49.611502"	"2.297416"
"French"	"0"	"0"	"48.85831109"	"2.348272512"
"Funen_VA_o.SG"	"1032.5"	"1032.5"	"55.5"	"10.33"
"Funen_VA.SG"	"1027.91666666667"	"1000"	"55.4900449498886"	"10.396727498363"
"GermanyFrance.IronRoman.SG"	"1545.33333333333"	"1500"	"49.6723926717354"	"8.03132656924301"
"Gnezdovo_VA.SG"	"950"	"950"	"54.78"	"31.87"
"Gotland_VA.SG"	"973.75"	"975"	"57.4980260156019"	"18.2628588045498"
"Greek"	"0"	"0"	"37.98442691"	"23.7281377"
"Hungarian"	"0"	"0"	"47.49826462"	"19.04731267"
"Hungary_BA.SG"	"3850"	"3850"	"46.28333333"	"17.85"
"Hungary_LBA.SG"	"3140"	"3140"	"47.82"	"19.95"
"Hungary_MBA_Vatya.SG"	"3700"	"3700"	"47.341"	"18.896"
"Hungary_Prescythian_IA.SG"	"2855"	"2855"	"47.82"	"19.95"
"Hungary_Scythian.SG"	"2475.75"	"2519"	"46.6484261916204"	"20.2965788987272"
"Iceland_Early_Christian_V.SG"	"825"	"825"	"64.120291"	"-19.82087"
"Iceland_MED.SG"	"419.5"	"419.5"	"64.8190988480711"	"-18.3459544759283"
"Iceland_Pre_Christian_V.SG"	"996.933333333333"	"1015"	"65.5105474647156"	"-19.4813666327202"
"Iceland_VA.SG"	"884.615384615385"	"850"	"65.6576338120526"	"-18.183547279264"
"Icelandic"	"0"	"0"	"64.13945711"	"-21.94008875"
"IoM_VA.SG"	"1050"	"1050"	"54.08"	"-4.68"
