qpAdm_label	version_ID	date_yBP	latitude	longitude
Anatolia_EBA.SG	MA2210	4700	38.629306	34.297718
Anatolia_EBA.SG	MA2212	4700	38.629306	34.297718
Anatolia_EBA.SG	MA2213	4700	38.629306	34.297718
Anatolia_MLBA.SG	MA2200	3800	39.345805	33.78813
Anatolia_MLBA.SG	MA2203	3800	39.345805	33.78813
Anatolia_MLBA.SG	MA2205	3800	39.345805	33.78813
Armenia.IronRoman.SG	R11535	2736	40.6885	43.8493
Armenia.IronRoman.SG	R11538	1465	40.6885	43.8493
Armenia.IronRoman.SG	R11540	2341	40.6885	43.8493
Armenia.IronRoman.SG	R11541	1947	40.6885	43.8493
Armenia.IronRoman.SG	R11542	1465	40.6885	43.8493
Armenia.IronRoman.SG	R11543	1468	40.6885	43.8493
Armenia.IronRoman.SG	R11544	1470	40.6885	43.8493
Armenia.IronRoman.SG	R11545	3276	40.6885	43.8493
Armenia.IronRoman.SG	R11546	2034	40.6885	43.8493
Armenia.IronRoman.SG	R11651	1900	40.6885	43.8493
Armenia.IronRoman.SG	R11653	1900	40.6885	43.8493
Armenia.IronRoman.SG	R11675	3372	40.6885	43.8493
Armenia.IronRoman.SG	R11678	1900	40.6885	43.8493
Armenia.IronRoman.SG	R11713	1900	40.6885	43.8493
Armenia.IronRoman.SG	R11714	1900	40.6885	43.8493
Austria_Klosterneuburg_Roman_oLevant.SG	R10654	1603	48.3099	16.3238
Austria_Klosterneuburg_Roman_oLevant.SG	R10660	1725	48.3099	16.3238
Austria.IronRoman_other.SG	R10656	1725	48.3099	16.3238
Austria.IronRoman_other.SG	R10657	1863	48.3099	16.3238
Austria.IronRoman.SG	R10665	1235	48.1654	14.0366
AustriaFranceGermany_I.IronRoman.SG	R10666	1241	48.1654	14.0366
AustriaFranceGermany_I.IronRoman.SG	R10670	1681	48.1654	14.0366
AustriaFranceGermany_I.IronRoman.SG	R2057	1502	49.100115	6.179059
AustriaFranceGermany_II.IronRoman.SG	R11557	1587	48.7327	7.0526
AustriaFranceGermany_II.IronRoman.SG	R11868	1500	51.109	10.9956
AustriaFranceGermany_II.IronRoman.SG	R2058	1475	49.100115	6.179059
AustriaFranceGermany_III.IronRoman.SG	R10659	1863	48.3099	16.3238
AustriaFranceGermany_III.IronRoman.SG	R11552	1675	48.7327	7.0526
AustriaFranceGermany_III.IronRoman.SG	R11560	1598	48.7327	7.0526
Baiuvarii_EMED_other.SG	STR310	1430	48.89	12.57
Baiuvarii_EMED.SG	Alh1	1500	48.58	12.2
Baiuvarii_EMED.SG	Alh10	1489	48.58	12.2
Basque	S_Basque-1.DG	0	43.26288752	-2.935503759
Basque	S_Basque-2.DG	0	43.26288752	-2.935503759
Bavaria_EMED.SG	FN2	1650	48.140725	11.409658
Bergamo	S_Bergamo-1.DG	0	45.69556454	9.66707458
Bergamo	S_Bergamo-2.DG	0	45.69556454	9.66707458
Bodzia_VA.SG	VK154	950	52.7	18.9
Bodzia_VA.SG	VK157	950	52.7	18.9
Britain.IronRoman.SG	3DT16	1750	53.958333	-1.080278
Britain.IronRoman.SG	6DT18	1750	53.958333	-1.080278
Britain.IronRoman.SG	6DT21	1750	53.958333	-1.080278
Britain.IronRoman.SG	6DT22	1750	53.958333	-1.080278
Britain.IronRoman.SG	6DT23	1750	53.958333	-1.080278
Britain.IronRoman.SG	C10427	2300	51.51323639	-0.098425495
Britain.IronRoman.SG	I0156	2017	52.08	0.18
Britain.IronRoman.SG	I0160	1995	52.08	0.18
Britain.IronRoman.SG	I0789	2155	52.0991	0.277
Britain.IronRoman.SG	M1489	2035	53.726187	-0.529641
Crete	B_Crete-1.DG	0	35.34280868	25.13438124
Crete	B_Crete-2.DG	0	35.34280868	25.13438124
Croatia.IronRoman.SG	R2041	1647	45.464666	16.377654
Croatia.IronRoman.SG	R2050	1475	45.2039	14.5437
Croatia.IronRoman.SG	R2051	1475	45.2039	14.5437
Croatia.IronRoman.SG	R2053	1512	45.2039	14.5437
Croatia.IronRoman.SG	R3542	1616	45.7729	18.6108
Croatia.IronRoman.SG	R3543	1438	43.6076	16.7143
Croatia.IronRoman.SG	R3544	1374	43.6076	16.7143
Croatia.IronRoman.SG	R3547	1381	45.41	13.66194
Croatia.IronRoman.SG	R3656	1668	45.550532	18.678046
Croatia.IronRoman.SG	R3662	1360	45.467293	13.506565
Croatia.IronRoman.SG	R3664	1218	45.467293	13.506565
Croatia.IronRoman.SG	R3685	1450	43.616374	16.801661
Croatia.IronRoman.SG	R3743	1798	44.101034	15.279107
Croatia.IronRoman.SG	R3744	1800	44.101034	15.279107
Croatia.IronRoman.SG	R3745	1880	44.114352	15.227943
Croatia.IronRoman.SG	R3746	1773	44.1141	15.233055
Croatia.IronRoman.SG	R3747	1775	44.1141	15.233055
Czech	S_Czech-2.DG	0	50.08819221	14.42022477
Czech_EarlySlav_dup.I4137.SG	I4137	1235	50.19	14.158
Czech_HallstattBylany.SG	DA111	2702	50.5099972	14.05
Czech_Unetice_EBA_dup.I4139.SG	I4139	4000	50.166667	14.316667
Denmark_EVA_o.SG	VK65	1100	55.87	12.08
Denmark_EVA.SG	VK297	1200	55.15	11.87
Denmark_EVA.SG	VK69	1100	55.87	12.08
Denmark_EVA.SG	VK70	1100	55.87	12.08
Denmark_IA.SG	VK521	1650	55.635879	12.241361
Denmark_IA.SG	VK532	1850	55.655463	12.245129
DenmarkSweden_VA_I.SG	VK134	1000	55.5	10.33
DenmarkSweden_VA_I.SG	VK141	1000	55.5	10.33
DenmarkSweden_VA_I.SG	VK279	1000	55.5	10.33
DenmarkSweden_VA_I.SG	VK281	1000	55.13	11.95
DenmarkSweden_VA_I.SG	VK288	1000	54.87	10.72
DenmarkSweden_VA_I.SG	VK290	1000	54.89	10.74
DenmarkSweden_VA_I.SG	VK291	1100	54.8	10.69
DenmarkSweden_VA_I.SG	VK295	1000	55.51	10.45
DenmarkSweden_VA_I.SG	VK316	1000	55.51	10.45
DenmarkSweden_VA_I.SG	VK320	1000	54.87	10.72
DenmarkSweden_VA_I.SG	VK325	1145	55.33	8.76
DenmarkSweden_VA_I.SG	VK366	1000	54.87	10.72
DenmarkSweden_VA_I.SG	VK372	1000	55.5	10.33
DenmarkSweden_VA_II.SG	VK285	1000	54.85	10.78
DenmarkSweden_VA_II.SG	VK315	1075	55.56	11.25
DenmarkSweden_VA_II.SG	VK327	979	55.33	8.76
DenmarkSweden_VA_II.SG	VK328	1104	55.33	8.76
DenmarkSweden_VA_II.SG	VK338	1000	54.87	10.72
DenmarkSweden_VA_II.SG	VK361	1000	54.87	10.72
DenmarkSweden_VA_II.SG	VK364	1000	54.87	10.72
DenmarkSweden_VA_II.SG	VK373	1000	55.5	10.33
DenmarkSweden_VA_II.SG	VK384	1075	55.95	10.2
DenmarkSweden_VA_III.SG	VK266	1000	57.18	13.93
DenmarkSweden_VA_III.SG	VK317	1000	54.85	10.78
DenmarkSweden_VA_III.SG	VK319	1150	55.43	10.61
DenmarkSweden_VA_III.SG	VK326	1026	55.33	8.76
DenmarkSweden_VA_III.SG	VK333	1052	56.5765236	16.4602296
DenmarkSweden_VA_III.SG	VK346	1000	56.7279175	16.7191707
DenmarkSweden_VA_III.SG	VK355	1097	56.2847285	16.409356
DenmarkSweden_VA_III.SG	VK362	1000	54.87	10.72
DenmarkSweden_VA_III.SG	VK363	1000	54.87	10.72
DenmarkSweden_VA_III.SG	VK444	1097	56.41526	16.4326046
DenmarkSweden_VA_III.SG	VK477	975	57.63	18.28
DenmarkSweden_VA_III.SG	VK87	1075	55.95	10.2
Dorset_VA.SG	VK256	953	50.67	-2.47
Dorset_VA.SG	VK257	953	50.67	-2.47
Dorset_VA.SG	VK258	953	50.67	-2.47
Dorset_VA.SG	VK259	953	50.67	-2.47
Dorset_VA.SG	VK260	953	50.67	-2.47
Dorset_VA.SG	VK261	953	50.67	-2.47
Dorset_VA.SG	VK262	953	50.67	-2.47
Dorset_VA.SG	VK263	953	50.67	-2.47
Dorset_VA.SG	VK264	953	50.67	-2.47
Dorset_VA.SG	VK449	953	50.67	-2.47
