"qpAdm_label"	"average.date"	"median.date"	"mean_center_latitude"	"mean_center_longitude"
"Altai_N"	"7051.4"	"7369"	"54.3660485716253"	"84.7192758831858"
"Altai_N_old"	"8160"	"8160"	"53.2664567291079"	"84.6606386623565"
"Altaian"	"0"	"0"	"50.8868621991227"	"86.7969585916499"
"Altaian_Chelkan"	"0"	"0"	"52.33"	"86.97"
"Bashkir"	"0"	"0"	"54.4441273340942"	"55.9945446073857"
"Besermyan"	"0"	"0"	"58.01"	"52.09"
"BMAC"	"3746.375"	"3767"	"37.8791443523622"	"64.708879864281"
"brn001.SG"	"7334"	"7334"	"52.2308"	"116.9933"
"brn002.SG"	"6061"	"6061"	"50.8158"	"114.8367"
"brn003.SG"	"6550"	"6550"	"52.0742"	"113.2139"
"brn008.SG"	"7379"	"7379"	"52.2308"	"116.9933"
"brn012.SG"	"6115"	"6115"	"50.8158"	"114.8367"
"Buryat"	"0"	"0"	"53.1521522383417"	"109.528067611936"
"Canada_LateDorset.SG"	"800"	"800"	"75.24"	"-82.94"
"Canada_Thule.SG"	"600"	"600"	"64.5"	"-84.5"
"CHG.SG"	"11480"	"11480"	"42.3305170937982"	"42.9352742436631"
"China_AmurRiver_EarlyN"	"8990"	"8990"	"45.91"	"125.95"
"China_AmurRiver_LPaleolithic"	"15193"	"14347.5"	"45.9826903923427"	"125.822479534951"
"China_AmurRiver_LPaleolithic_14K"	"14347.5"	"14347.5"	"45.9650681382947"	"125.705033846304"
"China_AmurRiver_LPaleolithic_19K"	"19427"	"19427"	"46"	"126.15"
"China_AmurRiver_Mesolithic"	"10816"	"10628"	"45.9300270534129"	"125.890086511982"
"China_AmurRiver_N"	"7316.75"	"6958"	"45.9281499984043"	"126.071739354016"
"China_AR_Xianbei_IA"	"1800"	"1800"	"46.8613"	"119.655"
"China_NEastAsia_Coastal_EN"	"8467.6"	"7850"	"36.7013467949859"	"117.60092463404"
"China_NEastAsia_Inland_EN"	"8375"	"8375"	"42"	"114.2"
"China_SEastAsia_Coastal_EN"	"8392"	"8392"	"25.4"	"117.6"
"China_YR_MN"	"5547.125"	"5250"	"34.789976309885"	"113.092911240366"
"Chuvash"	"0"	"0"	"55.6004501708677"	"47.4537334688763"
"Cisbaikal_EN"	"7412.05"	"7461"	"52.343089548458"	"104.293375997279"
"Cisbaikal_LNBA"	"4476.34090909091"	"4484"	"53.1965163568332"	"104.756502486413"
"cta016.SG"	"8264"	"8264"	"50.0171"	"118.9395"
"Dai"	"0"	"0"	"21"	"100"
"Daur"	"0"	"0"	"48.49753416"	"124"
"Dolgan"	"0"	"0"	"72.971189"	"115.444336"
"Dongxiang"	"0"	"0"	"35.6"	"103.2"
"Dzhilinda-1_M_N.SG"	"8400"	"8400"	"53.66408827"	"111.9450636"
"EHG"	"8033.33333333333"	"8450"	"61.7820655680137"	"35.5554858710744"
"Enets"	"0"	"0"	"68.9248636978056"	"86.2429378370681"
"Estonian"	"0"	"0"	"58.5390393"	"24.8892515"
"Even"	"0"	"0"	"57.53"	"135.88"
"Evenk_FarEast"	"0"	"0"	"54.7"	"135.3"
"Evenk_Transbaikal"	"0"	"0"	"56.9"	"118.2"
"FIN.SG"	"0"	"0"	"60.16560562"	"24.93775499"
"Finland_Levanluhta"	"1400"	"1400"	"62.948744"	"22.410146"
"Finland_Saami_Modern.SG"	"0"	"0"	"68.90375621"	"27.02018204"
"Finnish"	"0"	"0"	"60.2"	"24.9"
"Germany_EN_LBK"	"7074.7619047619"	"7100"	"51.7482346318128"	"10.9520681150121"
"Greenland_Saqqaq.SG"	"3885"	"3885"	"69.2438"	"-53.5413"
"Hezhen"	"0"	"0"	"47.4976192"	"133.5"
"Hungary_EN_HG_Koros"	"7661"	"7661"	"47.93"	"21.2"
"I15934"	"6262"	"6262"	"62.3639914"	"130.0094741"
"I20528"	"3769"	"3769"	"61.716667"	"130.366667"
"I20533_d"	"10193"	"10193"	"58.9220523"	"125.1358485"
"I23448"	"5820"	"5820"	"61.966169"	"129.665867"
"Iran_GanjDareh_N"	"9918.75"	"9874"	"34.45"	"48.116"
"irk007.SG"	"8801"	"8801"	"53.9867"	"105.8477"
"irk00x.SG"	"8419"	"8419"	"55.6689"	"115.8721"
"Japan_HG_Jomon"	"3477.16666666667"	"3225"	"37.1831221161365"	"140.28488236108"
"Kalmyk"	"0"	"0"	"46.169444"	"45.342778"
"Karakalpak"	"0"	"0"	"43"	"59"
"Karelian"	"0"	"0"	"60.4039760347013"	"31.9828805172775"
"Kazakh"	"0"	"0"	"47.8616028135654"	"70.472075939447"
"Kazakh_China"	"0"	"0"	"38.5"	"94.3"
"Kazakhstan_Berel_IA"	"1881.66666666667"	"1886"	"49.33"	"85.79"
"Kazakhstan_CaspianSteppe_Sarmatian"	"2321"	"2350"	"43.7"	"51.33"
"Kazakhstan_CaspianSteppe_Sarmatian.SG"	"2476"	"2476"	"46.03972222"	"53.44222222"
"Kazakhstan_CentralKazakhSteppe_Saka"	"2562.6"	"2557"	"49.209941084235"	"74.6889186849276"
"Kazakhstan_CentralKazakhSteppe_Sarmatian.SG"	"2124"	"2124"	"51.9394124197597"	"65.1084829843539"
"Kazakhstan_Eneolithic_Botai"	"5396"	"5396"	"53.16666667"	"67.66666667"
"Kazakhstan_Eneolithic_Botai.SG"	"5240"	"5240"	"53.305983"	"67.648166"
"Kazakhstan_Karakhanid.SG"	"1008.5"	"1008.5"	"43.2025"	"76.98166667"
"Kazakhstan_Karluk_1.SG"	"1100"	"1100"	"43.2025"	"76.98166667"
"Kazakhstan_Karluk_2.SG"	"883"	"883"	"43.2025"	"76.98166667"
"Kazakhstan_Kimak.SG"	"1259"	"1259"	"52.64305556"	"76.71055556"
"Kazakhstan_Kipchak1.SG"	"850"	"850"	"49.04361111"	"73.62111111"
"Kazakhstan_Kipchak2.SG"	"840"	"840"	"52.6925"	"62.64722222"
"Kazakhstan_Kyrgystan_TianShan_Saka"	"2373.09090909091"	"2373"	"42.8778785745673"	"76.9230817707114"
"Kazakhstan_Pazyryk_Berel"	"2300"	"2300"	"49.3356"	"86.350367"
"Kazakhstan_Tasmola"	"2580.8"	"2585"	"49.0528299154263"	"75.7977996721189"
"Kazakhstan_WesternKazakhSteppe_Sarmatian"	"2346"	"2300"	"48.9237990974205"	"58.4305687936451"
"KazakhstanHungary_HunElites_LateAntiquity"	"1559"	"1559"	"50.5676464894401"	"37.4616526446186"
"Ket"	"0"	"0"	"63.0679236929815"	"87.6345039708243"
"Khaiyrgas"	"16736"	"16736"	"59.95"	"117.4667"
"Khaiyrgas.SG"	"16736"	"16736"	"59.95"	"117.4667"
"Khakass"	"0"	"0"	"53.800968592282"	"89.6114794648727"
"Khakass_Kachin"	"0"	"0"	"55"	"89"
"Khamnegan"	"0"	"0"	"50.68"	"114.6"
"Khanty"	"0"	"0"	"60.99856011"	"69.01984674"
"KhatyrstyrCave_M"	"10193"	"10193"	"58.9220523"	"125.1358485"
"Kolyma_M.SG"	"9775"	"9775"	"68.6"	"159.1"
"Komi_Zyrian"	"0"	"0"	"65.00963516"	"53.91519011"
"kra001.SG"	"4170"	"4170"	"56.1947"	"95.8195"
