"pop_no"	"model"	"gene.flow.intensity.per.generation"	"qpAdm.setup"	"simulation.replicate"	"number"	"fit_criteria1"	"fit_criteria2"	"fit_criteria3"	"odds_maxdist"	"odds_avgdist"	"FPR_maxdist"	"FPR_avgdist"	"FNR_maxdist"	"FNR_avgdist"	"FDR_maxdist"	"FDR_avgdist"
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	1	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.182125930941097	0.168674698795181	0.146242383209208	0.144578313253012	0.364312267657993	0.321428571428571	0.558139534883721	0.558139534883721
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	2	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.164705882352941	0.142307692307692	0.147712418300654	0.141666666666667	0.468253968253968	0.373873873873874	0.627777777777778	0.613888888888889
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	3	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.169387755102041	0.149064171122995	0.137414965986395	0.133689839572193	0.409638554216867	0.331838565022422	0.578796561604584	0.573065902578797
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	4	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.204095563139932	0.171314741035857	0.133788395904437	0.132802124833997	0.451505016722408	0.37984496124031	0.544444444444444	0.555555555555556
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	5	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.181942544459644	0.161290322580645	0.122435020519836	0.122983870967742	0.469924812030075	0.429166666666667	0.559375	0.571875
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	6	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.189024390243902	0.160714285714286	0.112466124661247	0.108465608465608	0.491039426523298	0.407407407407407	0.538961038961039	0.532467532467532
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	7	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.195020746887967	0.16914749661705	0.171507607192254	0.165764546684709	0.517730496453901	0.444	0.645833333333333	0.638020833333333
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	8	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.193438140806562	0.166332665330661	0.110047846889952	0.111556446225785	0.431095406360424	0.377510040160643	0.5	0.518633540372671
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	9	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.181818181818182	0.146309601567603	0.14006734006734	0.140431090790333	0.459259259259259	0.379464285714286	0.587570621468927	0.607344632768362
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. non-rot."	10	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.239176721078779	0.211658570437196	0.105039034776437	0.105482303955586	0.43026706231454	0.383606557377049	0.435294117647059	0.447058823529412
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	1	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.193317422434368	0.161890007745933	0.0664280031821798	0.064291247095275	0.668724279835391	0.61244019138756	0.509146341463415	0.50609756097561
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	2	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.177657098525989	0.160106992739778	0.0698215671062839	0.0657241115781429	0.674672489082969	0.625298329355609	0.547112462006079	0.522796352583587
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	3	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.218507949449653	0.173076923076923	0.106400326131268	0.103218210361068	0.608208955223881	0.528344671201814	0.554140127388535	0.558386411889597
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	4	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.21522633744856	0.1812	0.0765432098765432	0.0716	0.69980879541109	0.637969094922737	0.542274052478134	0.521865889212828
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	5	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.164282953227677	0.137891953154515	0.0904522613065327	0.0884019644880997	0.684705882352941	0.632876712328767	0.635869565217391	0.635869565217391
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	6	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.130649449297379	0.122972463221426	0.0881124192935815	0.0856280648811769	0.593023255813954	0.55521472392638	0.623655913978495	0.610215053763441
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	7	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.205629397967162	0.177998472116119	0.0770132916340891	0.0710466004583652	0.557034220532319	0.476394849785408	0.458139534883721	0.432558139534884
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	8	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.19576304433111	0.160700685453161	0.0910160847391134	0.0868240670220868	0.667334669338677	0.597156398104265	0.582914572864322	0.57286432160804
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	9	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.224489795918367	0.2	0.0746938775510204	0.0728	0.634545454545455	0.596	0.4765625	0.473958333333333
"13 demes"	"2-way"	"10-3 to 10-2"	"dist. rot."	10	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.102892713291834	0.0956711531465988	0.100329549615525	0.0916696980720262	0.487544483985765	0.368821292775665	0.655502392344498	0.602870813397129
"13 demes"	"2-way"	"10-3 to 10-2"	"prox. non-rot."	1	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.154761904761905	0.14792899408284	0.113756613756614	0.10913872452334	0.435897435897436	0.386666666666667	0.565789473684211	0.546052631578947
"13 demes"	"2-way"	"10-3 to 10-2"	"prox. non-rot."	2	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.185810810810811	0.149312377210216	0.130405405405405	0.133595284872299	0.458181818181818	0.394736842105263	0.564327485380117	0.596491228070175
"13 demes"	"2-way"	"10-3 to 10-2"	"prox. non-rot."	3	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.158066623122142	0.132907348242812	0.15676028739386	0.148242811501597	0.491735537190083	0.370192307692308	0.661157024793388	0.639118457300275
"13 demes"	"2-way"	"10-3 to 10-2"	"prox. non-rot."	4	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.169457468184863	0.137459283387622	0.119223040857334	0.115960912052117	0.513833992094862	0.417061611374408	0.591362126245847	0.591362126245847
