"model"	"gene.flow.intensity.per.generation"	"simulation.replicate"	"number"	"fit_criteria1"	"fit_criteria2"	"fit_criteria3"	"odds_maxdist"	"odds_avgdist"	"FPR_maxdist"	"FPR_avgdist"	"FNR_maxdist"	"FNR_avgdist"	"FDR_maxdist"	"FDR_avgdist"
"2-way"	"10-3 to 10-2"	1	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.167905020246098	0.144684622201672	0.0779966190981641	0.0750202288752745	0.642238351674081	0.583222370173103	0.564920273348519	0.554384965831435
"2-way"	"10-3 to 10-2"	2	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.163524976437323	0.143629134982823	0.0791705937794533	0.0756166287103872	0.62463976945245	0.564633163128191	0.563285834031853	0.547359597652976
"2-way"	"10-3 to 10-2"	3	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.195557876134629	0.169442916633928	0.0864326451923849	0.0821089023336214	0.610597658656808	0.54602364943195	0.531620553359684	0.516304347826087
"2-way"	"10-3 to 10-2"	4	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.166057318079962	0.14058834839454	0.0816133978063451	0.0792924437608152	0.644176136363636	0.585065645514223	0.580050293378039	0.576138586197262
"2-way"	"10-3 to 10-2"	5	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.207088793033287	0.172867818591594	0.0791080003255473	0.0765885097465502	0.661230104146198	0.604071363220494	0.529989094874591	0.528080697928026
"2-way"	"10-3 to 10-2"	6	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.154146037191532	0.137516329824022	0.0783985029823399	0.0757703834626912	0.645169448659585	0.597094160379994	0.58904510837727	0.577621558289397
"2-way"	"10-3 to 10-2"	7	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.170299674011233	0.145465728674124	0.0701464985664349	0.0673893822319609	0.654981549815498	0.595930232558139	0.544180377818403	0.534125533211456
"2-way"	"10-3 to 10-2"	8	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.190542641840437	0.161189966945363	0.0838882022247917	0.0822866031499125	0.633605356769199	0.580458383594692	0.545784695201038	0.548897535667964
"2-way"	"10-3 to 10-2"	9	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.193077665219489	0.162241541353383	0.0837353272230262	0.0807095864661654	0.633978763272954	0.570359642770939	0.542306690965894	0.536579015881281
"2-way"	"10-3 to 10-2"	10	32	"% (-0.3,1.3)"	"p>=0.001"	"1. simpler models not checked"	0.180130874479477	0.155387303436226	0.0814991076740036	0.0781595806639487	0.649713782474681	0.591954022988506	0.563631376851344	0.552111903455842
