pop1	pop2
deme01	deme02
deme01	deme06
deme01	deme07
deme02	deme03
deme02	deme07
deme02	deme08
deme03	deme04
deme03	deme08
deme03	deme09
deme04	deme09
deme04	deme10
deme05	deme06
deme05	deme12
deme05	deme13
deme06	deme07
deme06	deme13
deme06	deme14
deme07	deme08
deme07	deme14
deme07	deme15
deme08	deme09
deme08	deme15
deme08	deme16
deme09	deme10
deme09	deme16
deme09	deme17
deme10	deme11
deme10	deme17
deme10	deme18
deme11	deme18
deme11	deme19
deme12	deme13
deme12	deme20
deme12	deme21
deme13	deme14
deme13	deme21
deme13	deme22
deme14	deme15
deme14	deme22
deme14	deme23
deme15	deme16
deme15	deme23
deme15	deme24
deme16	deme17
deme16	deme24
deme16	deme25
deme17	deme18
deme17	deme25
deme17	deme26
deme18	deme19
deme18	deme26
deme18	deme27
deme19	deme27
deme19	deme28
deme20	deme21
deme20	deme29
deme21	deme22
deme21	deme29
deme21	deme30
deme22	deme23
deme22	deme30
deme22	deme31
deme23	deme24
deme23	deme31
deme23	deme32
deme24	deme25
deme24	deme32
deme24	deme33
deme25	deme26
deme25	deme33
deme25	deme34
deme26	deme27
deme26	deme34
deme26	deme35
deme27	deme28
deme27	deme35
deme27	deme36
deme28	deme36
deme29	deme30
deme29	deme37
deme29	deme38
deme30	deme31
deme30	deme38
deme30	deme39
deme31	deme32
deme31	deme39
deme31	deme40
deme32	deme33
deme32	deme40
deme32	deme41
deme33	deme34
deme33	deme41
deme33	deme42
deme34	deme35
deme34	deme42
deme34	deme43
deme35	deme36
deme35	deme43
deme35	deme44
deme36	deme44
deme36	deme45
deme37	deme38
deme37	deme46
deme38	deme39
deme38	deme46
deme38	deme47
deme39	deme40
deme39	deme47
deme39	deme48
deme40	deme41
deme40	deme48
deme40	deme49
deme41	deme42
deme41	deme49
deme41	deme50
deme42	deme43
deme42	deme50
deme42	deme51
deme43	deme44
deme43	deme51
deme43	deme52
deme44	deme45
deme44	deme52
deme44	deme53
deme45	deme53
deme46	deme47
deme46	deme54
deme47	deme48
deme47	deme54
deme47	deme55
deme48	deme49
deme48	deme55
deme48	deme56
deme49	deme50
deme49	deme56
deme49	deme57
deme50	deme51
deme50	deme57
deme50	deme58
deme51	deme52
deme51	deme58
deme51	deme59
deme52	deme53
deme52	deme59
deme52	deme60
deme53	deme60
deme54	deme55
deme55	deme56
deme55	deme61
deme56	deme57
deme56	deme61
deme56	deme62
deme57	deme58
deme57	deme62
deme57	deme63
deme58	deme59
deme58	deme63
deme58	deme64
deme59	deme60
deme59	deme64
deme61	deme62
deme62	deme63
deme63	deme64
