deme_no	x_coord	y_coord
deme01	3.5	9
deme02	4.5	9
deme03	5.5	9
deme04	6.5	9
deme05	2	8
deme06	3	8
deme07	4	8
deme08	5	8
deme09	6	8
deme10	7	8
deme11	8	8
deme12	1.5	7
deme13	2.5	7
deme14	3.5	7
deme15	4.5	7
deme16	5.5	7
deme17	6.5	7
deme18	7.5	7
deme19	8.5	7
deme20	1	6
deme21	2	6
deme22	3	6
deme23	4	6
deme24	5	6
deme25	6	6
deme26	7	6
deme27	8	6
deme28	9	6
deme29	1.5	5
deme30	2.5	5
deme31	3.5	5
deme32	4.5	5
deme33	5.5	5
deme34	6.5	5
deme35	7.5	5
deme36	8.5	5
deme37	1	4
deme38	2	4
deme39	3	4
deme40	4	4
deme41	5	4
deme42	6	4
deme43	7	4
deme44	8	4
deme45	9	4
deme46	1.5	3
deme47	2.5	3
deme48	3.5	3
deme49	4.5	3
deme50	5.5	3
deme51	6.5	3
deme52	7.5	3
deme53	8.5	3
deme54	2	2
deme55	3	2
deme56	4	2
deme57	5	2
deme58	6	2
deme59	7	2
deme60	8	2
deme61	3.5	1
deme62	4.5	1
deme63	5.5	1
deme64	6.5	1
